UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,NAME,KANTONSNUM,ICC,EINWOHNERZ,BFS_NUMMER,GEM_TEIL,GEM_FLAECH,SHN
{D5A9677C-FE38-44F6-B0E8-3177F6252C81},2020/11/03,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2020","4",Gemeindegebiet,"1843",,2021_Aufbau,Scuol,"18",CH,"4624","3762","0",43861.000000000000000,CH18433762
{B55F9EAE-EB69-4468-A41C-7BB28A6699EE},2021/10/26,2008/11/24,"2006","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,,,2021_Aufbau,Glarus Süd,"8",CH,"9480","1631","0",43003.000000000000000,CH08001631
{AB2BA4A5-EB8C-40C7-A259-271DAC93C767},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"1843",,2021_Aufbau,Zernez,"18",CH,"1506","3746","0",34404.000000000000000,CH18433746
{550D0610-1EE3-4748-8F29-88072753FFDC},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"1841",,2021_Aufbau,Surses,"18",CH,"2377","3543","0",32377.000000000000000,CH18413543
{5B0C1705-1D2B-4E53-9970-6BC3DE33A0F7},2021/10/26,2008/11/24,"1997","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"2303",,2021_Aufbau,Val de Bagnes,"23",CH,"10329","6037","0",30191.000000000000000,CH23036037
{56C0B03A-B593-4156-B365-FF6FA1168B58},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"1849",,2021_Aufbau,Davos,"18",CH,"10832","3851","0",28400.000000000000000,CH18493851
{651D5F41-5B3F-4E14-AD47-35160A88F593},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"1846",,2021_Aufbau,Bregaglia,"18",CH,"1556","3792","0",25142.000000000000000,CH18463792
{2B3CC864-CEF3-473A-97F5-34B5EC070182},2021/10/26,2008/11/24,"1997","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"2311",,2021_Aufbau,Anniviers,"23",CH,"2742","6252","0",24337.000000000000000,CH23116252
{E1773FB1-2D32-4EB3-9C38-EC5934950077},2021/10/26,2008/11/24,"1997","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"2313",,2021_Aufbau,Zermatt,"23",CH,"5820","6300","0",24291.000000000000000,CH23136300
{F10E6A8E-A138-4A28-82CC-2CA0B437966A},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"250",,2021_Aufbau,Innertkirchen,"2",CH,"1072","784","0",23659.000000000000000,CH02500784
{3AED7252-6BFC-4CE6-BB79-E7F4C4E747DF},2021/10/26,2008/11/24,"2000","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"1849",,2021_Aufbau,Klosters,"18",CH,"4416","3871","0",21980.000000000000000,CH18493871
{E0E366FA-F1F5-4606-9AF3-B163B1DE72BF},2021/10/26,2020/08/17,"2020","4","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"2104",,2021_Aufbau,Verzasca,"21",CH,"799","5399","0",21848.000000000000000,CH21045399
{C1B1D0E7-5EB6-46B6-B0A9-1ED23876E6DB},2021/10/26,2008/11/24,"1997","1","2022","5",Verbessert,AV,"2021","4",Gemeindegebiet,"2305",,2021_Aufbau,Evolène,"23",CH,"1647","6083","0",20984.000000000000000,CH23056083
{7D945983-50D6-4328-B301-53702361DE69},2020/11/03,2008/11/24,"2006","1","2022","5",Verbessert,AV,"2020","4",Gemeindegebiet,"2102",,2021_Aufbau,Blenio,"21",CH,"1770","5049","0",20200.000000000000000,CH21025049
