﻿# Identitas AG. Validity: 2010-01-01 - 2022-10-31. Evaluated: 2022-11-14
Name;count;Rank;year;OwnerLanguage
Bella;927;1;2010;__all__
Fiona;874;2;2010;__all__
Tina;790;3;2010;__all__
Nina;702;4;2010;__all__
Diana;688;5;2010;__all__
Nora;674;6;2010;__all__
Sina;671;7;2010;__all__
Lara;668;8;2010;__all__
Viola;651;9;2010;__all__
Bianca;632;10;2010;__all__
Bella;907;1;2011;__all__
Fiona;780;2;2011;__all__
Nina;750;3;2011;__all__
Tina;739;4;2011;__all__
Nora;694;5;2011;__all__
Diana;692;6;2011;__all__
Sina;677;7;2011;__all__
Lara;649;8;2011;__all__
Bianca;586;9;2011;__all__
Viola;584;10;2011;__all__
Bella;913;1;2012;__all__
Fiona;755;2;2012;__all__
Tina;741;3;2012;__all__
Nina;736;4;2012;__all__
Nora;684;5;2012;__all__
Diana;679;6;2012;__all__
Sina;602;7;2012;__all__
Viola;601;8;2012;__all__
Bianca;582;9;2012;__all__
Lara;555;10;2012;__all__
Bella;901;1;2013;__all__
Fiona;822;2;2013;__all__
Nina;740;3;2013;__all__
Nora;686;4;2013;__all__
Tina;676;5;2013;__all__
Diana;642;6;2013;__all__
Bianca;606;7;2013;__all__
Flora;596;8;2013;__all__
Sina;595;9;2013;__all__
Lara;554;10;2013;__all__
Bella;901;1;2014;__all__
Fiona;838;2;2014;__all__
Nora;704;3;2014;__all__
Tina;683;4;2014;__all__
Nina;668;5;2014;__all__
Sina;599;6;2014;__all__
Flora;589;7;2014;__all__
Bianca;586;8;2014;__all__
Lara;564;9;2014;__all__
Diana;563;10;2014;__all__
Bella;849;1;2015;__all__
Fiona;752;2;2015;__all__
Nora;745;3;2015;__all__
Nina;734;4;2015;__all__
Tina;659;5;2015;__all__
Belinda;638;6;2015;__all__
Bianca;609;7;2015;__all__
Diana;582;8;2015;__all__
Sina;575;9;2015;__all__
Flora;554;10;2015;__all__
Bella;892;1;2016;__all__
Nora;860;2;2016;__all__
Nina;730;3;2016;__all__
Fiona;715;4;2016;__all__
Tina;656;5;2016;__all__
Bianca;628;6;2016;__all__
Sina;579;7;2016;__all__
Luna;573;8;2016;__all__
Belinda;568;9;2016;__all__
Diana;551;10;2016;__all__
Bella;929;1;2017;__all__
Tina;700;2;2017;__all__
Nina;665;3;2017;__all__
Fiona;658;4;2017;__all__
Nora;654;5;2017;__all__
Bianca;635;6;2017;__all__
Sina;585;7;2017;__all__
Diana;554;8;2017;__all__
Belinda;553;9;2017;__all__
Luna;530;10;2017;__all__
Bella;909;1;2018;__all__
Sina;690;2;2018;__all__
Tina;674;3;2018;__all__
Fiona;670;4;2018;__all__
Nora;632;5;2018;__all__
Lisa;610;6;2018;__all__
Nina;595;7;2018;__all__
Luna;594;8;2018;__all__
Bianca;594;8;2018;__all__
Mia;537;10;2018;__all__
Bella;965;1;2019;__all__
Tina;659;2;2019;__all__
Sina;658;3;2019;__all__
Fiona;655;4;2019;__all__
Nina;637;5;2019;__all__
Anna;595;6;2019;__all__
Lisa;568;7;2019;__all__
Bianca;556;8;2019;__all__
Belinda;533;9;2019;__all__
Nora;528;10;2019;__all__
Bella;961;1;2020;__all__
Fiona;685;2;2020;__all__
Sina;677;3;2020;__all__
Corona;635;4;2020;__all__
Tina;621;5;2020;__all__
Nina;593;6;2020;__all__
Nora;589;7;2020;__all__
Bianca;586;8;2020;__all__
Luna;568;9;2020;__all__
Anna;564;10;2020;__all__
Bella;987;1;2021;__all__
Fiona;714;2;2021;__all__
Nina;697;3;2021;__all__
Sina;643;4;2021;__all__
Tina;640;5;2021;__all__
Bianca;632;6;2021;__all__
Nora;629;7;2021;__all__
Luna;623;8;2021;__all__
Anna;595;9;2021;__all__
Belinda;553;10;2021;__all__
Bella;757;1;2022;__all__
Sina;532;2;2022;__all__
Tina;514;3;2022;__all__
Fiona;506;4;2022;__all__
Nina;498;5;2022;__all__
Anna;484;6;2022;__all__
Nora;478;7;2022;__all__
Olivia;477;8;2022;__all__
Bianca;467;9;2022;__all__
Luna;446;10;2022;__all__
Fiona;727;1;2010;de
Bella;725;2;2010;de
Tina;626;3;2010;de
Sina;618;4;2010;de
Viola;575;5;2010;de
Diana;572;6;2010;de
Lara;551;7;2010;de
Nina;541;8;2010;de
Nora;540;9;2010;de
Bianca;521;10;2010;de
Bella;725;1;2011;de
Fiona;673;2;2011;de
Sina;613;3;2011;de
Tina;601;4;2011;de
Nina;599;5;2011;de
Diana;594;6;2011;de
Nora;581;7;2011;de
Lara;520;8;2011;de
