﻿# Identitas AG. Validity: 2010-01-01 - 2022-10-31. Evaluated: 2022-11-14
Name;count;Rank;year;OwnerLanguage
Max;731;1;2010;__all__
Leo;617;2;2010;__all__
Bruno;473;3;2010;__all__
Fritz;420;4;2010;__all__
Carlo;401;5;2010;__all__
Moritz;400;6;2010;__all__
Peter;381;7;2010;__all__
Sepp;368;8;2010;__all__
Sämi;360;9;2010;__all__
Franz;356;10;2010;__all__
Max;777;1;2011;__all__
Leo;646;2;2011;__all__
Bruno;428;3;2011;__all__
Sämi;380;4;2011;__all__
Moritz;369;5;2011;__all__
Sepp;357;6;2011;__all__
Carlo;355;7;2011;__all__
Nero;355;7;2011;__all__
Muni;354;9;2011;__all__
Fritz;344;10;2011;__all__
Max;776;1;2012;__all__
Leo;615;2;2012;__all__
Bruno;422;3;2012;__all__
Sämi;405;4;2012;__all__
Peter;381;5;2012;__all__
Fritz;376;6;2012;__all__
Sepp;357;7;2012;__all__
Paul;355;8;2012;__all__
Moritz;355;8;2012;__all__
Sandro;328;10;2012;__all__
Max;764;1;2013;__all__
Leo;666;2;2013;__all__
Bruno;463;3;2013;__all__
Felix;409;4;2013;__all__
Sämi;393;5;2013;__all__
Paul;391;6;2013;__all__
Fritz;374;7;2013;__all__
Sepp;370;8;2013;__all__
Moritz;365;9;2013;__all__
Peter;361;10;2013;__all__
Max;832;1;2014;__all__
Leo;671;2;2014;__all__
Bruno;444;3;2014;__all__
Sämi;412;4;2014;__all__
Fritz;406;5;2014;__all__
Peter;391;6;2014;__all__
Moritz;380;7;2014;__all__
Lars;374;8;2014;__all__
Paul;366;9;2014;__all__
Sepp;364;10;2014;__all__
Max;755;1;2015;__all__
Leo;648;2;2015;__all__
Sämi;492;3;2015;__all__
Bruno;465;4;2015;__all__
Fritz;383;5;2015;__all__
Sepp;352;6;2015;__all__
Peter;352;6;2015;__all__
Moritz;349;8;2015;__all__
Paul;346;9;2015;__all__
Lars;345;10;2015;__all__
Max;783;1;2016;__all__
Leo;629;2;2016;__all__
Bruno;475;3;2016;__all__
Sämi;421;4;2016;__all__
Peter;375;5;2016;__all__
Fritz;367;6;2016;__all__
Moritz;361;7;2016;__all__
Lars;355;8;2016;__all__
Sepp;337;9;2016;__all__
Anton;335;10;2016;__all__
Max;777;1;2017;__all__
Leo;627;2;2017;__all__
Bruno;467;3;2017;__all__
Sämi;390;4;2017;__all__
Moritz;366;5;2017;__all__
Fritz;343;6;2017;__all__
Peter;340;7;2017;__all__
Simon;338;8;2017;__all__
Sepp;335;9;2017;__all__
Paul;334;10;2017;__all__
Max;847;1;2018;__all__
Leo;680;2;2018;__all__
Bruno;435;3;2018;__all__
Sämi;376;4;2018;__all__
Peter;365;5;2018;__all__
Fritz;362;6;2018;__all__
Paul;355;7;2018;__all__
Sepp;341;8;2018;__all__
Lars;338;9;2018;__all__
Anton;337;10;2018;__all__
Max;891;1;2019;__all__
Leo;738;2;2019;__all__
Bruno;482;3;2019;__all__
Peter;418;4;2019;__all__
Paul;416;5;2019;__all__
Fritz;414;6;2019;__all__
Moritz;403;7;2019;__all__
Anton;383;8;2019;__all__
Sämi;377;9;2019;__all__
Sepp;366;10;2019;__all__
Max;874;1;2020;__all__
Leo;741;2;2020;__all__
Bruno;546;3;2020;__all__
Emil;449;4;2020;__all__
Anton;441;5;2020;__all__
Fritz;436;6;2020;__all__
Sepp;418;7;2020;__all__
Sämi;411;8;2020;__all__
Moritz;408;9;2020;__all__
Paul;399;10;2020;__all__
Max;841;1;2021;__all__
Leo;797;2;2021;__all__
Bruno;566;3;2021;__all__
Anton;489;4;2021;__all__
Sepp;428;5;2021;__all__
Sämi;425;6;2021;__all__
Emil;423;7;2021;__all__
Peter;411;8;2021;__all__
Fritz;408;9;2021;__all__
Moritz;400;10;2021;__all__
Max;688;1;2022;__all__
Leo;562;2;2022;__all__
Bruno;464;3;2022;__all__
Anton;386;4;2022;__all__
Sämi;360;5;2022;__all__
Sepp;347;6;2022;__all__
Emil;332;7;2022;__all__
Lars;321;8;2022;__all__
Moritz;318;9;2022;__all__
Peter;305;10;2022;__all__
Max;573;1;2010;de
Leo;536;2;2010;de
Bruno;380;3;2010;de
Fritz;360;4;2010;de
Moritz;358;5;2010;de
Carlo;345;6;2010;de
Peter;339;7;2010;de
Muni;335;8;2010;de
Sepp;331;9;2010;de
Franz;322;10;2010;de
Max;616;1;2011;de
Leo;562;2;2011;de
Bruno;341;3;2011;de
Moritz;339;4;2011;de
Sämi;339;4;2011;de
Muni;328;6;2011;de
Sepp;322;7;2011;de
Nero;321;8;2011;de
Fritz;308;9;2011;de
Carlo;307;10;2011;de
Max;605;1;2012;de
Leo;554;2;2012;de
Sämi;382;3;2012;de
Bruno;354;4;2012;de
Peter;337;5;2012;de
Sepp;331;6;2012;de
Fritz;322;7;2012;de
Moritz;318;8;2012;de
Paul;307;9;2012;de
Muni;298;10;2012;de
Max;640;1;2013;de
Leo;601;2;2013;de
Bruno;395;3;2013;de
Sämi;369;4;2013;de
Felix;362;5;2013;de
Paul;345;6;2013;de
Moritz;342;7;2013;de
Sepp;340;8;2013;de
Fritz;335;9;2013;de
Peter;325;10;2013;de
Max;699;1;2014;de
Leo;606;2;2014;de
Sämi;390;3;2014;de
Bruno;386;4;2014;de
Fritz;380;5;2014;de
Moritz;363;6;2014;de
Peter;355;7;2014;de
Lars;354;8;2014;de
Sepp;338;9;2014;de
Franz;337;10;2014;de
Max;665;1;2015;de
Leo;587;2;2015;de
Sämi;418;3;2015;de
Bruno;405;4;2015;de
Fritz;348;5;2015;de
Moritz;328;6;2015;de
Sepp;327;7;2015;de
Lars;320;8;2015;de
Peter;314;9;2015;de
Franz;310;10;2015;de
Max;670;1;2016;de
Leo;560;2;2016;de
Bruno;425;3;2016;de
Sämi;401;4;2016;de
Moritz;347;5;2016;de
Peter;343;6;2016;de
Lars;335;7;2016;de
Fritz;329;8;2016;de
Emil;315;9;2016;de
Toni;311;10;2016;de
Max;666;1;2017;de
Leo;580;2;2017;de
Bruno;425;3;2017;de
Sämi;379;4;2017;de
Moritz;346;5;2017;de
Fritz;321;6;2017;de
Sepp;315;7;2017;de
Emil;315;7;2017;de
Anton;313;9;2017;de
Franz;313;9;2017;de
Max;733;1;2018;de
Leo;630;2;2018;de
Bruno;391;3;2018;de
Sämi;369;4;2018;de
Peter;334;5;2018;de
Fritz;331;6;2018;de
Lars;326;7;2018;de
Anton;325;8;2018;de
Paul;323;9;2018;de
Sepp;320;10;2018;de
Max;811;1;2019;de
Leo;702;2;2019;de
Bruno;433;3;2019;de
Moritz;391;4;2019;de
Peter;390;5;2019;de
Fritz;376;6;2019;de
